,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,41.213.203.50,,37002.0,,RE,1321610722.0,2062,False,True,1603305194.0,-21.2415,55.4105,41.213.192.0/20,,1,Connected,1602795926,"['dsl', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d']",257258764,Probe,RE
1,41.213.203.50,,37002.0,,RE,1321376620.0,2093,False,True,1603305194.0,-20.9115,55.5015,41.213.192.0/20,,1,Connected,1601577431,"['system-v2', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'zeop', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d']",274548904,Probe,RE
2,195.220.151.21,,2470.0,,RE,1543985023.0,6419,True,True,1555321133.0,-20.8985,55.4875,195.220.151.0/24,,3,Abandoned,1555321133,"['system-anchor', 'system-ipv4-capable', 'system-firewall-problem-suspected', 'system-v2-soekris']",11309650,Probe,RE
3,165.169.68.228,,37002.0,,RE,1402573829.0,17309,False,True,1563436149.0,-20.8785,55.4475,165.169.64.0/20,,3,Abandoned,1563436149,"['fibre', 'home', 'ipv4', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",135146405,Probe,RE
4,,,3215.0,,RE,1402762194.0,17597,False,False,1437897806.0,-20.9295,55.5815,80.8.0.0/17,,3,Abandoned,1437897806,"['dsl', 'home', 'lareunion', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",28816498,Probe,RE
5,62.61.214.23,,49902.0,,RE,1429514458.0,19036,False,True,1434129869.0,-21.3695,55.5585,62.61.192.0/18,,3,Abandoned,1434129869,"['dsl', 'home', 'adsl', 'sfr', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",4576798,Probe,RE
6,41.213.130.112,,37002.0,,RE,1434869950.0,19167,False,True,1603305194.0,-20.9495,55.3205,41.213.128.0/21,,1,Connected,1602825509,"['fibre', 'home', 'nat', 'ipv4', 'ftth', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'zeop', 'fiber-2', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",164727536,Probe,RE
7,41.213.130.80,,37002.0,,RE,1408453237.0,19496,False,True,1603305194.0,-20.9495,55.3015,41.213.128.0/21,,1,Connected,1602795810,"['cable', 'home', 'nat', 'system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-rfc1918']",140607232,Probe,RE
8,41.213.213.129,,37002.0,,RE,1436518335.0,23094,False,True,1485770729.0,-21.2705,55.5315,41.213.208.0/20,,3,Abandoned,1485770729,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",41159509,Probe,RE
9,195.220.151.96,,2470.0,,RE,1438060239.0,23417,False,True,1603305194.0,-20.9095,55.4975,195.220.151.0/24,,1,Connected,1602758908,"['system-ipv4-rfc1918', 'system-v3', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-ipv4-stable-1d']",99483890,Probe,RE
