,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,41.74.165.98,,37228.0,,RW,1309263216.0,253,False,True,1432274006.0,-1.9415,30.0895,41.74.164.0/23,,3,Abandoned,1432274006.0,"['system-no-controller-connection', 'system-ipv4-capable', 'system-v1', 'no-nat']",113725008,Probe,RW
1,196.12.130.12,,21174.0,,RW,1362548198.0,4642,False,True,1443857311.0,-1.9515,30.0595,196.12.128.0/19,,3,Abandoned,1443857311.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'nat']",6839057,Probe,RW
2,196.49.7.52,,328014.0,,RW,1526458884.0,6361,True,True,1603305195.0,-1.9425,30.0905,196.49.7.0/24,,1,Connected,1602600479.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-v3-pc-engines', 'system-ipv4-capable', 'system-anchor']",75449544,Probe,RW
3,,,,,RW,,10183,False,True,,-1.9515,30.0615,,,0,Never Connected,,['system-v3'],0,Probe,RW
4,102.22.191.155,2c0f:eb68:200:8100:6666:b3ff:feb0:f1d4,36924.0,36924.0,RW,1393658240.0,14955,False,True,1603305195.0,-1.9405,30.0595,102.22.160.0/19,2c0f:eb68::/33,1,Connected,1603193278.0,"['system-ipv6-capable', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'ftth', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",73697109,Probe,RW
5,,,37006.0,,RW,1421049890.0,15912,False,False,1580481710.0,-2.0015,29.9975,41.216.101.0/24,,3,Abandoned,1580481710.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",21286841,Probe,RW
6,,,,,RW,1413537400.0,15952,False,False,1413813665.0,-2.0015,29.9995,,,3,Abandoned,1413813665.0,"['system-auto-geoip-country', 'system-v3']",302099,Probe,RW
7,197.243.60.14,2001:da8:205:40c1:6666:b3ff:fed1:1878,37228.0,23910.0,RW,1431069038.0,16261,False,True,1431083654.0,-1.9525,30.0905,197.243.48.0/20,2001:da8::/32,3,Abandoned,1431083654.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",15683,Probe,RW
8,,,,,RW,1413454013.0,17266,False,False,1416662220.0,-1.9995,30.0005,,,3,Abandoned,1416662220.0,"['system-ipv4-rfc1918', 'system-auto-geoip-country', 'system-v3']",2707379,Probe,RW
9,,,,,RW,,17640,False,True,,-1.9425,29.8695,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,RW
10,41.197.30.86,,36934.0,,RW,1413541852.0,17662,False,True,1503994667.0,-1.9415,29.8705,41.197.0.0/16,,3,Abandoned,1503994667.0,"['system-ipv4-capable', 'known-ipv6-issues', 'known-ipv4-issues', 'system-v3', 'cable']",70864687,Probe,RW
11,41.242.142.194,,22690.0,,RW,1413983104.0,17932,False,True,1500051883.0,-1.9415,29.8685,41.242.142.0/24,,3,Abandoned,1500051883.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",81934545,Probe,RW
12,41.186.47.59,,36890.0,,RW,1413814258.0,17933,False,True,1441864701.0,-1.9415,29.8685,41.186.0.0/16,,3,Abandoned,1441864701.0,"['system-ipv4-capable', 'known-ipv6-issues', 'known-ipv4-issues', 'system-v3', 'cable']",19649157,Probe,RW
13,197.243.48.197,,37228.0,,RW,1414149619.0,17938,False,True,1436609735.0,-1.9385,29.8685,197.243.48.0/20,,3,Abandoned,1436609735.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",7735260,Probe,RW
14,197.234.245.117,,37547.0,,RW,1412848578.0,17971,False,True,1428842832.0,-1.9525,30.0605,197.234.244.0/22,,3,Abandoned,1428842832.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'known-ipv4-issues', 'system-v3', 'cable']",3719345,Probe,RW
15,196.12.143.1,2c0f:fe30:64:1:6666:b3ff:fec5:824,30844.0,37006.0,RW,1412937263.0,17987,False,True,1448867412.0,-1.9395,29.8715,196.12.143.0/24,2c0f:fe30::/32,3,Abandoned,1448867412.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",11409466,Probe,RW
16,197.157.161.142,,327707.0,,RW,1440925924.0,21607,False,True,1603305195.0,-1.9295,30.0975,197.157.128.0/18,,1,Connected,1603299205.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",143562569,Probe,RW
