,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,41.86.45.252,2c0f:fef0:0:a:220:4aff:fec8:2458,36958.0,36958.0,SC,1291112401,470,False,True,1442310374,-4.6325,55.4505,41.86.32.0/19,2c0f:fef0::/32,3,Abandoned,1442310374,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v1', 'no-nat']",115261100,Probe,SC
1,,,,,SC,1372652072,11399,False,True,1400085682,-4.6285,55.4515,,,3,Abandoned,1400085682,"['system-v3', 'no-nat', 'office']",26180196,Probe,SC
2,196.1.123.124,,36867.0,,SC,1393338858,14376,False,True,1536311149,-4.6895,55.5305,196.1.123.0/24,,3,Abandoned,1536311149,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",127903556,Probe,SC
3,196.13.208.234,,327861.0,,SC,1395314411,14398,False,True,1455802976,-4.6185,55.4515,196.13.208.0/24,,3,Abandoned,1455802976,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'datacentre', 'fibre']",54427361,Probe,SC
4,,,,,SC,1397383072,14432,False,True,1400937405,-4.7715,55.5185,,,3,Abandoned,1400937405,"['system-ipv4-rfc1918', 'system-v3']",236715,Probe,SC
5,196.13.208.234,,327861.0,,SC,1395645453,14953,False,True,1455802881,-4.6215,55.4495,196.13.208.0/24,,3,Abandoned,1455802881,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'datacentre', 'fibre']",53414034,Probe,SC
6,,,,,SC,1393406519,14954,False,True,1421149949,-4.6205,55.4495,,,3,Abandoned,1421149949,"['system-ipv4-rfc1918', 'system-v3', 'nat']",20598355,Probe,SC
7,41.203.255.130,,36902.0,,SC,1393669198,14958,False,True,1603305196,-4.6485,55.4795,41.203.240.0/20,,1,Connected,1602796343,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-resolver-mangles-case', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",179370198,Probe,SC
8,,,,,SC,1393414857,14959,False,True,1401952087,-4.6185,55.4195,,,3,Abandoned,1401952087,"['system-ipv4-rfc1918', 'system-no-flash-drive', 'system-v3', 'nat']",8467163,Probe,SC
9,196.1.121.10,,36867.0,,SC,1393344575,14976,False,True,1429771188,-4.6195,55.4505,196.1.120.0/23,,3,Abandoned,1429771188,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",7815031,Probe,SC
10,196.13.208.234,,327861.0,,SC,1395730011,14977,False,True,1455802978,-4.6195,55.4505,196.13.208.0/24,,3,Abandoned,1455802978,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'datacentre', 'fibre']",53194960,Probe,SC
11,196.1.121.10,,36867.0,,SC,1398761198,14978,False,True,1430740367,-4.6185,55.4505,196.1.120.0/23,,3,Abandoned,1430740367,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",6152297,Probe,SC
12,197.157.98.213,fdd0:7ab5:9462:b300:6666:b3ff:feb0:dcc6,36958.0,,SC,1393252787,14980,False,True,1438236661,-4.6825,55.4915,197.157.96.0/20,,3,Abandoned,1438236661,"['system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'nat']",36668720,Probe,SC
13,41.86.56.109,,36958.0,,SC,1393561734,14982,False,True,1446114075,-4.6515,55.4915,41.86.56.0/24,,3,Abandoned,1446114075,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",51206494,Probe,SC
14,41.86.46.228,,36958.0,,SC,1393514436,14991,False,True,1481374399,-4.6825,55.4915,41.86.46.0/24,,3,Abandoned,1481374399,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",44063219,Probe,SC
15,,,,,SC,1393516993,14995,False,True,1416477814,-4.6205,55.4515,,,3,Abandoned,1416477814,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-v3']",20610003,Probe,SC
16,,,36867.0,,SC,1393336312,14996,False,False,1429768784,-4.5795,55.6715,196.1.120.0/23,,3,Abandoned,1429768784,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3', 'nat']",6138074,Probe,SC
17,197.158.254.38,,37343.0,,SC,1393335645,14997,False,True,1472187892,-4.6795,55.4915,197.158.254.0/24,,3,Abandoned,1472187892,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",76412052,Probe,SC
18,41.86.36.29,,36958.0,,SC,1393824563,14998,False,True,1439987917,-4.5985,55.4515,41.86.36.0/24,,3,Abandoned,1439987917,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",9297415,Probe,SC
