,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,SD,1326559075.0,2230,False,True,1366101729.0,15.5975,32.5285,,,3,Abandoned,1366101729.0,"['system-ipv4-rfc1918', 'system-v2', 'nat', 'home']",34820288,Probe,SD
1,,,,,SD,1355677262.0,4056,False,True,1355944764.0,15.5005,32.5595,,,3,Abandoned,1355944764.0,"['system-ipv4-rfc1918', 'system-firewall-problem-suspected', 'system-v2', 'nat', 'home']",85025,Probe,SD
2,41.67.16.16,2c0f:fec8:16:0:280:a3ff:fe91:4638,37197.0,37197.0,SD,1354531415.0,4061,False,True,1492321037.0,15.5875,32.5305,41.67.16.0/22,2c0f:fec8:16::/64,3,Abandoned,1492321037.0,"['system-firewall-problem-suspected', 'system-ipv6-capable', 'system-ipv4-capable', 'system-auto-geoip-city', 'system-v2', 'no-nat']",134770698,Probe,SD
3,,,,,SD,1353836023.0,4083,False,True,1354200725.0,15.4985,32.5615,,,3,Abandoned,1354200725.0,"['system-v2', 'no-nat', 'office']",727118,Probe,SD
4,41.67.48.17,,37197.0,,SD,1354533286.0,4096,False,True,1486986255.0,15.5005,32.5615,41.67.48.0/23,,3,Abandoned,1486986255.0,"['system-trying-to-connect', 'system-firewall-problem-suspected', 'system-ipv4-capable', 'system-v2', 'no-nat']",117886122,Probe,SD
5,,,,,SD,,4097,False,True,,15.6105,32.5215,,,0,Never Connected,,['system-v2'],0,Probe,SD
6,196.29.164.164,,33788.0,,SD,1398591586.0,14867,False,True,1603305176.0,15.5805,32.5705,196.29.164.0/24,,1,Connected,1600440487.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-ipv4-works', 'system-v3']",155347799,Probe,SD
7,212.0.156.85,,15706.0,,SD,1446044573.0,14870,False,True,1492245845.0,15.6375,32.5305,212.0.156.0/22,,3,Abandoned,1492245845.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",31099867,Probe,SD
8,197.254.254.52,2c0f:fec8:3:17:6666:b3ff:feb0:e1bc,33788.0,37197.0,SD,1398859945.0,14893,False,True,1463069147.0,15.6585,32.6215,197.254.192.0/18,2c0f:fec8:3:17::/64,3,Abandoned,1463069147.0,"['system-no-flash-drive', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",57919179,Probe,SD
9,,,,,SD,1417970467.0,15274,False,False,1417970577.0,14.9995,30.0005,,,3,Abandoned,1417970577.0,"['system-no-flash-drive', 'system-auto-geoip-country', 'system-v3']",220,Probe,SD
10,,,36998.0,,SD,1417353540.0,15327,False,False,1442490882.0,15.6005,32.4985,41.223.202.0/23,,3,Abandoned,1442490882.0,"['system-ipv4-capable', 'system-v3']",24644982,Probe,SD
11,154.101.238.141,,36998.0,,SD,1470896868.0,15367,False,True,1472541957.0,15.6205,32.5305,154.101.0.0/16,,3,Abandoned,1472541957.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",376031,Probe,SD
12,154.101.6.117,,36998.0,,SD,1432812576.0,15399,False,True,1433404288.0,15.5015,32.5615,154.101.0.0/16,,3,Abandoned,1433404288.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",514077,Probe,SD
13,212.0.144.24,,15706.0,,SD,1446970722.0,16686,False,True,1469101030.0,15.6005,32.5915,212.0.144.0/24,,3,Abandoned,1469101030.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3', 'ipv6', 'ipv4', 'ixp']",21679088,Probe,SD
14,,,327881.0,,SD,1423749817.0,19485,False,False,1475115095.0,15.5995,32.5915,62.12.99.0/24,,3,Abandoned,1475115095.0,"['noc', 'system-ipv4-capable', 'system-v3', 'ixp']",4497824,Probe,SD
15,154.101.6.117,,36998.0,,SD,1432839815.0,19903,False,True,1433404300.0,15.5785,32.5675,154.101.0.0/16,,3,Abandoned,1433404300.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",372324,Probe,SD
16,,,,,SD,,23506,False,True,,12.8605,30.2175,,,0,Never Connected,,['system-v3'],0,Probe,SD
17,,,36998.0,,SD,1446746592.0,23523,False,False,1597927507.0,14.9985,29.9985,41.95.196.0/24,,2,Disconnected,1597927507.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",22269,Probe,SD
18,197.254.255.248,,33788.0,,SD,1444494079.0,23527,False,True,1445493594.0,15.6405,32.5785,197.254.192.0/18,,3,Abandoned,1445493594.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",955816,Probe,SD
19,41.67.33.7,,37197.0,,SD,1441009134.0,23531,False,True,1569749821.0,14.4275,33.4885,41.67.32.0/19,,3,Abandoned,1569749821.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",49700996,Probe,SD
20,197.254.255.38,,33788.0,,SD,1476083921.0,23540,False,True,1500378985.0,15.6575,32.4995,197.254.192.0/18,,3,Abandoned,1500378985.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",12413458,Probe,SD
