,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,196.1.95.16,2001:4278:1000:1::16,8346.0,8346.0,SN,1291147153.0,239,False,True,1603305185.0,14.6715,-17.4415,196.1.92.0/22,2001:4278::/32,1,Connected,1602076704.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v1', 'no-nat', 'office']",266347958,Probe,SN
1,196.1.95.103,,8346.0,,SN,1376928497.0,11383,False,True,1603305185.0,14.7585,-17.3685,196.1.92.0/22,,1,Connected,1602767086.0,"['system-ipv4-stable-30d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'no-nat', 'academic', 'cable']",203642050,Probe,SN
2,41.82.124.90,,8346.0,,SN,1392371460.0,14493,False,True,1428943903.0,14.7585,-17.3685,41.82.96.0/19,,3,Abandoned,1428943903.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",23135988,Probe,SN
3,196.207.246.214,,8346.0,,SN,1392374708.0,14494,False,True,1562595907.0,14.7595,-17.3685,196.207.246.0/24,,3,Abandoned,1562595907.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",57502,Probe,SN
4,,,,,SN,,15299,False,True,,14.6715,-17.4285,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,SN
5,,,8346.0,,SN,1410874503.0,15310,False,False,1432648523.0,13.9975,-14.0025,196.207.192.0/18,,3,Abandoned,1432648523.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",20644979,Probe,SN
6,41.82.90.71,,8346.0,,SN,1409347437.0,15345,False,True,1486162317.0,14.7095,-17.4805,41.82.64.0/19,,3,Abandoned,1486162317.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",48903095,Probe,SN
7,154.124.101.158,,8346.0,,SN,1409277624.0,15347,False,True,1479683899.0,14.7605,-17.3705,154.124.0.0/15,,3,Abandoned,1479683899.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",49174295,Probe,SN
8,41.82.98.14,,8346.0,,SN,1409759463.0,15361,False,True,1463596221.0,14.7175,-17.4595,41.82.96.0/19,,3,Abandoned,1463596221.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",38769685,Probe,SN
9,154.124.216.179,,8346.0,,SN,1425322655.0,22522,False,True,1603305185.0,14.7285,-17.5015,154.124.216.0/22,,1,Connected,1603199735.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'orange', 'ftth', 'ipv4', 'nat', 'home', 'fibre']",160813254,Probe,SN
10,154.124.216.179,fdfb:53ea:f927:0:c24a:ff:fea0:4c4,8346.0,,SN,1425484408.0,22588,False,True,1603305185.0,14.7315,-17.4985,154.124.216.0/22,,1,Connected,1603205480.0,"['system-flash-drive-filesystem-corrupted', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-rfc1918', '4g', 'system-ipv4-capable', 'lte', 'system-v3', 'wireless-isp', 'ipv4', 'nat', 'home']",63574154,Probe,SN
11,,,8346.0,,SN,1433848960.0,27400,False,False,1434723428.0,13.9975,-14.0025,41.82.96.0/19,,3,Abandoned,1434723428.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",219495,Probe,SN
12,41.82.212.193,,8346.0,,SN,1439206257.0,27401,False,True,1533507587.0,14.7875,-16.9625,41.82.212.0/24,,3,Abandoned,1533507587.0,"['system-readonly-flash-drive', 'system-trying-to-connect', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",29552831,Probe,SN
13,41.219.16.195,,37196.0,,SN,1469019960.0,27524,False,True,1469035726.0,14.7595,-17.3715,41.219.16.0/24,,3,Abandoned,1469035726.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",22434,Probe,SN
14,154.125.170.77,,8346.0,,SN,1464447302.0,28493,False,True,1561712745.0,14.7385,-17.1385,154.125.128.0/18,,3,Abandoned,1561712745.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'adsl', 'ipv4', 'office']",93853854,Probe,SN
15,196.207.246.206,,8346.0,,SN,1526322285.0,32149,False,True,1549573513.0,14.7115,-17.4705,196.207.246.0/24,,3,Abandoned,1549573513.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",19696998,Probe,SN
16,213.154.81.185,,8346.0,,SN,1525638194.0,32258,False,True,1578517441.0,14.6615,-17.4405,213.154.80.0/21,,3,Abandoned,1578517441.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",50076348,Probe,SN
17,154.124.48.90,,8346.0,,SN,1580852560.0,52341,False,True,1585304121.0,14.7275,-17.4705,154.124.48.0/22,,3,Abandoned,1585304121.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v4']",4255256,Probe,SN
18,154.124.194.225,fd80::1:95ff:fe16:c12f,8346.0,,SN,1576666615.0,52931,False,True,1603305185.0,14.6975,-17.4615,154.124.192.0/22,,1,Connected,1602861870.0,"['system-ipv6-capable', 'fibre', 'nat', 'office', 'ipv4', 'orange', 'system-ipv6-doesnt-work', 'system-ipv6-ula', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-v4', 'system-ipv4-rfc1918', 'system-ipv4-capable']",26278805,Probe,SN
