,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,TG,1299281962.0,228,False,False,1357651853.0,6.1315,1.2185,,,3,Abandoned,1357651853.0,"['system-ipv4-rfc1918', 'system-auto-geoip-city', 'system-v1', 'nat']",48395774,Probe,TG
1,196.170.22.226,,24691.0,,TG,1366131969.0,10203,False,True,1603305186.0,6.1685,1.2275,196.170.16.0/20,,1,Connected,1603245595.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",147733270,Probe,TG
2,,,,,TG,1378931869.0,11927,False,True,1419167665.0,6.1405,1.2085,,,3,Abandoned,1419167665.0,"['system-ipv4-rfc1918', 'system-v3', 'nat']",18862206,Probe,TG
3,160.242.199.34,,24691.0,,TG,1439285834.0,18243,False,True,1477040834.0,6.1685,1.2295,160.242.192.0/21,,3,Abandoned,1477040834.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",34536157,Probe,TG
4,80.248.68.70,,30982.0,,TG,1419027543.0,18718,False,True,1542010608.0,8.6215,0.8175,80.248.68.0/24,,3,Abandoned,1542010608.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",81697151,Probe,TG
5,80.248.67.99,2001:470:1f13:9db:ea94:f6ff:fe48:57d8,30982.0,6939.0,TG,1418900548.0,18753,False,True,1505703246.0,6.1285,1.2195,80.248.67.0/24,2001:470::/32,3,Abandoned,1505703246.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'ipv6-tunnel', 'nat', 'office', 'dsl']",52278181,Probe,TG
6,41.207.188.2,,24691.0,,TG,1429300073.0,19591,False,True,1566587558.0,6.1775,1.2115,41.207.188.0/22,,3,Abandoned,1566587558.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",132837336,Probe,TG
7,,,,,TG,,21635,False,True,,6.1295,1.2185,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,TG
8,160.242.192.83,,24691.0,,TG,1515082648.0,21655,False,True,1583153605.0,6.1695,1.2295,160.242.192.0/21,,3,Abandoned,1583153605.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",66209392,Probe,TG
9,41.207.177.9,,24691.0,,TG,1516014391.0,21680,False,True,1543840439.0,6.1675,1.2315,41.207.177.0/24,,3,Abandoned,1543840439.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",26796446,Probe,TG
