,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,193.95.97.132,2001:4350:2048::aa90,2609.0,5438.0,TN,1302014907.0,504,False,True,1555421361.0,36.7995,10.1675,193.95.97.0/24,2001:4350::/32,3,Abandoned,1555421361.0,"['no-nat', 'system-v1', 'system-ipv4-capable', 'system-ipv6-capable']",174203933,Probe,TN
1,,,,,TN,1402936607.0,530,False,False,1419516445.0,33.9975,8.9985,,,3,Abandoned,1419516445.0,"['system-v1', 'system-auto-geoip-country', 'system-ipv4-rfc1918']",3252324,Probe,TN
2,193.95.66.40,2c0f:fab0:ffff:4:220:4aff:febf:ff48,2609.0,5438.0,TN,1301929373.0,567,False,True,1603305177.0,36.8205,10.1805,193.95.66.0/24,2c0f:fab0::/28,1,Connected,1602766407.0,"['no-nat', 'system-v1', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv6-doesnt-work', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-stable-90d']",245392801,Probe,TN
3,,,,,TN,,2784,False,True,,36.1295,10.3815,,,0,Never Connected,,['system-v2'],0,Probe,TN
4,196.203.228.240,,2609.0,,TN,1377087874.0,3339,False,True,1433153116.0,36.8215,10.1785,196.203.0.0/16,,3,Abandoned,1433153116.0,"['nat', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918']",40981692,Probe,TN
5,196.203.228.149,,31245.0,,TN,1363539527.0,3347,False,True,1459073840.0,36.8805,10.1695,196.203.228.0/24,,3,Abandoned,1459073840.0,"['nat', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918']",90423796,Probe,TN
6,41.231.21.253,2001:4350:3000:1::2,2609.0,5438.0,TN,1395402312.0,6051,True,True,1603305177.0,36.7975,10.1595,41.231.21.0/24,2001:4350::/32,1,Connected,1602664165.0,"['system-anchor', 'system-ipv6-capable', 'system-v2-soekris', 'system-ipv4-stable-1d', 'system-ipv4-capable', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",136644553,Probe,TN
7,,,2609.0,,TN,1382009892.0,12757,False,False,1504460709.0,36.8205,10.1795,197.15.0.0/16,,3,Abandoned,1504460709.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",116708202,Probe,TN
8,,,,,TN,1389949472.0,13905,False,False,1389952290.0,36.7795,10.1675,,,3,Abandoned,1389952290.0,"['no-nat', 'system-v3', 'system-flash-drive-filesystem-corrupted']",5636,Probe,TN
9,,,2609.0,,TN,1393467364.0,14766,False,False,1603200470.0,33.8105,10.8505,197.0.0.0/11,,2,Disconnected,1603200470.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable']",70310451,Probe,TN
