,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,196.216.162.250,2001:43f8:e0:5:220:4aff:febf:fd33,37045.0,37045.0,TZ,1296567689.0,479,False,True,1442189322.0,-6.8185,39.2705,196.216.162.0/24,2001:43f8:e0::/48,3,Abandoned,1442189322.0,"['office', 'no-nat', 'system-v1', 'system-ipv4-capable', 'system-ipv6-capable']",92565261,Probe,TZ
1,,,,,TZ,1307782874.0,484,False,True,1341293423.0,-6.8405,39.2415,,,3,Abandoned,1341293423.0,"['nat', 'system-v1', 'system-firewall-problem-suspected', 'system-ipv4-rfc1918']",31718764,Probe,TZ
2,196.49.5.98,2001:43f8:1:404::a793,327844.0,327844.0,TZ,1475670129.0,6224,True,True,1603305215.0,-6.8105,39.2885,196.49.5.0/24,2001:43f8:1::/48,1,Connected,1602627476.0,"['system-anchor', 'system-ipv4-capable', 'system-ipv6-capable', 'system-v2-soekris', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-30d', 'system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv6-stable-90d', 'system-ipv4-stable-30d']",127250634,Probe,TZ
3,41.221.32.130,2001:4258:1:10:a2f3:c1ff:fea6:71ed,37084.0,37084.0,TZ,1384587487.0,10243,False,True,1603305215.0,-6.7915,39.2795,41.221.32.0/21,2001:4258::/32,1,Connected,1602896270.0,"['office', 'nat', 'native-ipv6', 'system-v3', 'system-ipv6-works', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv6-stable-30d']",215666592,Probe,TZ
4,154.73.65.4,,327706.0,,TZ,1421136424.0,13141,False,True,1471588664.0,-6.8025,39.2795,154.73.64.0/22,,3,Abandoned,1471588664.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",22050935,Probe,TZ
5,,,,,TZ,1404422985.0,13171,False,False,1404555420.0,-6.8025,39.2805,,,3,Abandoned,1404555420.0,"['system-v3', 'system-auto-geoip-city', 'system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918']",197277,Probe,TZ
6,,,,,TZ,,13583,False,True,,-6.8215,39.2715,,,0,Never Connected,,"['system-v3', 'system-dns-problem-suspected']",0,Probe,TZ
7,41.220.130.91,,36909.0,,TZ,1392892836.0,13887,False,True,1603305215.0,-3.3695,36.7015,41.220.130.0/24,,1,Connected,1602895682.0,"['nat', 'system-v3', 'system-resolver-mangles-case', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d']",193281052,Probe,TZ
8,41.93.50.10,,37182.0,,TZ,1400244926.0,14470,False,True,1423233689.0,-6.7725,39.2405,41.93.50.0/24,,3,Abandoned,1423233689.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",9720405,Probe,TZ
9,41.220.130.8,,36909.0,,TZ,1402303121.0,15282,False,True,1465108196.0,-8.1915,39.2815,41.220.130.0/24,,3,Abandoned,1465108196.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",58538608,Probe,TZ
10,,,,,TZ,,15349,False,True,,-6.6885,39.2095,,,0,Never Connected,,"['mobile', 'office', 'tanzania', 'system-v3', 'system-dns-problem-suspected']",0,Probe,TZ
11,41.222.88.34,2c0f:f320::3434:3434:3434:3434,37126.0,37126.0,TZ,1420544993.0,19925,False,True,1603305215.0,-6.7705,39.2585,41.222.88.0/24,2c0f:f320::/32,1,Connected,1602630231.0,"['system-ipv4-stable-30d', 'fibre', 'no-nat', 'ipv4', 'multihomed', 'isp', 'system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'ipv6', 'system-ipv6-capable']",182354333,Probe,TZ
12,193.0.21.251,2001:67c:2e8:110:c24a:ff:fe09:5272,3333.0,3333.0,TZ,1418225565.0,19928,False,True,1531306904.0,-6.1785,39.2185,193.0.20.0/23,2001:67c:2e8::/48,3,Abandoned,1531306904.0,"['office', 'no-nat', 'ipv4', 'ipv6', 'system-v3', 'system-ipv4-capable', 'system-ipv6-capable']",73148698,Probe,TZ
13,169.255.114.4,2c0f:eff0:1:1:c24a:ff:fe09:5370,327859.0,327859.0,TZ,1472714742.0,20772,False,True,1603305215.0,-6.8215,39.2905,169.255.114.0/24,2c0f:eff0::/32,1,Connected,1602835335.0,"['system-v3', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-30d', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv4-stable-30d', 'system-ipv4-capable']",129956441,Probe,TZ
14,,,,,TZ,,20853,False,True,,-6.2015,39.3095,,,0,Never Connected,,"['system-v3', 'system-firewall-problem-suspected', 'system-flash-drive-filesystem-corrupted']",0,Probe,TZ
15,196.216.162.250,2001:43f8:e0:5:c66e:1fff:fe5b:f3ac,37045.0,37045.0,TZ,1511138405.0,23494,False,True,1517692045.0,-6.7905,39.2115,196.216.162.0/24,2001:43f8:e0::/48,3,Abandoned,1517692045.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-dns-problem-suspected']",7289421,Probe,TZ
