,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,UG,1332915885.0,1455,False,False,1332942632.0,0.3195,32.5695,,,3,Abandoned,1332942632.0,"['nat', 'system-v1', 'system-auto-geoip-city', 'system-firewall-problem-suspected', 'system-ipv4-rfc1918']",20963,Probe,UG
1,,,,,UG,,4034,False,False,,0.3095,32.5785,,,0,Never Connected,,['system-v2'],0,Probe,UG
2,,,,,UG,1354628703.0,4093,False,True,1362665560.0,0.3385,32.5915,,,3,Abandoned,1362665560.0,"['nat', 'system-v2', 'system-no-controller-connection', 'system-ipv4-rfc1918']",402026,Probe,UG
3,196.49.15.189,,37386.0,,UG,1525162845.0,6358,True,True,1603305198.0,0.3115,32.5795,196.49.15.0/24,,1,Connected,1603267838.0,"['system-anchor', 'system-ipv4-capable', 'system-v3-pc-engines', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d']",73737306,Probe,UG
4,41.220.0.39,,29032.0,,UG,1453815428.0,10843,False,True,1603305198.0,0.3085,32.5795,41.220.0.0/22,,1,Connected,1603160104.0,"['home', 'wimax', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-90d']",125077431,Probe,UG
5,41.190.138.10,,36997.0,,UG,1409108087.0,10855,False,True,1562196879.0,0.3195,32.5995,41.190.138.0/23,,3,Abandoned,1562196879.0,"['system-v3', 'system-ipv4-capable']",70836759,Probe,UG
6,41.191.76.68,,37063.0,,UG,1372340766.0,11319,False,True,1378220120.0,0.3115,32.6175,41.191.76.0/24,,3,Abandoned,1378220120.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-flash-drive-problem-detected', 'system-ipv4-rfc1918']",5848922,Probe,UG
7,193.0.21.35,2001:67c:2e8:110:fa1a:67ff:fe4d:754f,3333.0,3333.0,UG,1380015405.0,12168,False,True,1574432140.0,0.3215,32.5805,193.0.20.0/23,2001:67c:2e8::/48,3,Abandoned,1574432140.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable']",133546236,Probe,UG
8,155.12.12.150,,37084.0,,UG,1392902323.0,13707,False,True,1515065330.0,0.3105,32.5775,155.12.0.0/17,,3,Abandoned,1515065330.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",45015333,Probe,UG
9,,,327687.0,,UG,1399195233.0,14539,False,False,1444207591.0,1.0015,31.9985,196.43.128.0/18,,3,Abandoned,1444207591.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918']",40816796,Probe,UG
10,,,327687.0,,UG,1398866017.0,14541,False,False,1437736067.0,0.9975,31.9995,196.43.128.0/18,,3,Abandoned,1437736067.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918']",33269830,Probe,UG
