,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,165.255.156.84,2001:42a0:1000:48::190,37611.0,6083.0,ZA,1291379990.0,227,False,True,1485229270.0,-25.7695,28.3385,165.255.156.0/24,2001:42a0::/32,3,Abandoned,1485229270.0,"['no-nat', 'system-v1', 'system-ipv4-capable', 'system-ipv6-capable', 'system-no-controller-connection']",174786034,Probe,ZA
1,,,328453.0,37049.0,ZA,1290706135.0,242,False,False,1603305207.0,-33.9815,18.4895,102.65.0.0/16,2c0f:fdc8::/32,1,Connected,1602679218.0,"['fibre', 'home', 'system-v1', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-30d', 'system-ipv6-capable', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly']",284214902,Probe,ZA
2,197.88.54.133,,10474.0,,ZA,1290947037.0,449,False,True,1528901457.0,-33.9985,18.4695,197.88.0.0/13,,3,Abandoned,1528901457.0,"['dsl', 'home', 'nat', 'system-v1', 'system-ipv4-capable', 'system-ipv4-rfc1918']",220276956,Probe,ZA
3,196.4.161.3,2c0f:fc00:53:4161:220:4aff:fec8:2447,3741.0,3741.0,ZA,1291649892.0,473,False,True,1603305207.0,-26.1515,28.0405,196.4.160.0/23,2c0f:fc00::/27,1,Connected,1602609176.0,"['no-nat', 'system-v1', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d']",297945394,Probe,ZA
4,,,32653.0,,ZA,1314088419.0,849,False,False,1502728622.0,-26.0385,28.0195,154.72.96.0/21,,3,Abandoned,1502728622.0,"['system-v1', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-firewall-problem-suspected']",135501562,Probe,ZA
5,,,29975.0,,ZA,1320915130.0,868,False,False,1577100567.0,-33.9085,18.4205,41.13.192.0/18,,3,Abandoned,1577100567.0,"['system-v1', 'system-ipv4-capable', 'system-ipv4-rfc1918']",137889376,Probe,ZA
6,,,,,ZA,,970,False,False,,-33.8825,18.6405,,,0,Never Connected,,"['office', 'system-v1', 'system-dns-problem-suspected']",0,Probe,ZA
7,197.255.240.221,,37542.0,,ZA,1339570609.0,2608,False,True,1583493519.0,-29.1185,26.2175,197.255.240.0/24,,3,Abandoned,1583493519.0,"['office', 'no-nat', 'system-v2', 'system-ipv4-capable', 'system-dns-problem-suspected']",238322159,Probe,ZA
8,,,3741.0,6939.0,ZA,1380292203.0,3443,False,False,1510180335.0,-34.0015,18.4795,196.208.0.0/13,2600:7000::/24,3,Abandoned,1510180335.0,"['home', 'nat', 'system-v2', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-rfc1918']",115422312,Probe,ZA
9,196.24.39.242,,2018.0,,ZA,1380709353.0,3454,False,True,1603305207.0,-33.9305,18.4695,196.24.39.0/24,,1,Connected,1602863394.0,"['fibre', 'office', 'academic', 'nat', 'ipv4', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d']",192304055,Probe,ZA
10,196.24.38.242,,2018.0,,ZA,1361867003.0,3461,False,True,1603273635.0,-30.7625,21.4205,196.24.0.0/16,,2,Disconnected,1603273635.0,"['nat', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-no-controller-connection']",217748118,Probe,ZA
11,,,,,ZA,1381379979.0,3470,False,True,1398751384.0,-26.0325,28.1205,,,3,Abandoned,1398751384.0,"['no-nat', 'system-v2']",5219721,Probe,ZA
12,160.124.2.33,2001:42a0:0:2::33,6083.0,6083.0,ZA,1350469857.0,3480,False,True,1483195200.0,-26.0025,28.1215,160.124.0.0/16,2001:42a0::/32,3,Abandoned,1483195200.0,"['no-nat', 'system-v2', 'system-ipv4-capable', 'system-ipv6-capable']",113694172,Probe,ZA
13,,,,,ZA,1350995727.0,3484,False,True,1395728052.0,-26.0005,28.1315,,,3,Abandoned,1395728052.0,"['office', 'no-nat', 'system-v2']",43899475,Probe,ZA
