,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,ZM,1292027128.0,252,False,False,1292237249.0,-15.4115,28.2895,,,3,Abandoned,1292237249.0,"['system-dns-problem-suspected', 'system-v1', 'no-nat']",264090,Probe,ZM
1,41.216.0.249,2c0f:fe80:0:11:280:a3ff:fe91:4484,37043.0,9498.0,ZM,1357196707.0,4089,False,True,1461055812.0,-15.4085,28.2915,41.216.0.0/24,::/1,3,Abandoned,1461055812.0,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v2', 'no-nat']",87468256,Probe,ZM
2,,,,,ZM,1372090075.0,11354,False,True,1384090583.0,-15.4105,28.2895,,,3,Abandoned,1384090583.0,"['system-flash-drive-filesystem-corrupted', 'system-v3', 'no-nat']",5897915,Probe,ZM
3,41.72.108.150,,37154.0,,ZM,1392658211.0,13519,False,True,1497446030.0,-15.4185,28.3075,41.72.104.0/21,,3,Abandoned,1497446030.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",94574645,Probe,ZM
4,,,30844.0,30844.0,ZM,1400507760.0,13755,False,False,1564123843.0,-12.8205,28.2195,41.77.144.0/21,2a01:410:2::/48,3,Abandoned,1564123843.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",145983904,Probe,ZM
5,41.77.144.98,2c0f:fa10:99:2:a2f3:c1ff:fec4:690c,30844.0,30844.0,ZM,1398701615.0,13758,False,True,1603305217.0,-15.3885,28.3195,41.77.144.0/21,2c0f:fa10::/32,1,Connected,1603111154.0,"['system-ipv6-capable', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-v3']",189153543,Probe,ZM
6,41.218.81.202,,33763.0,,ZM,1394803856.0,14451,False,True,1509174781.0,-15.4225,28.3295,41.218.80.0/22,,3,Abandoned,1509174781.0,"['system-no-flash-drive', 'system-trying-to-connect', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",53247262,Probe,ZM
7,196.46.192.14,,7420.0,,ZM,1426919266.0,21026,False,True,1603305217.0,-15.4195,28.2785,196.46.192.0/22,,1,Connected,1602847362.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'known-ipv4-issues', 'system-v3']",71120645,Probe,ZM
8,41.63.32.190,2c0f:f670:3:0:ea94:f6ff:fee3:66ec,37532.0,37532.0,ZM,1509449776.0,21673,False,True,1577160474.0,-15.3915,28.3205,41.63.0.0/18,2c0f:f670::/32,3,Abandoned,1577160474.0,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",67254453,Probe,ZM
9,,,,,ZM,,26240,False,True,,-15.3925,28.3195,,,0,Never Connected,,"['system-dns-problem-suspected', 'probe-v3', 'system-v3', 'isp', 'free', 'mobile']",0,Probe,ZM
10,41.72.96.145,,37154.0,,ZM,,26241,False,True,,-15.3925,28.3195,41.72.96.0/19,,3,Abandoned,1472638374.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",0,Probe,ZM
11,,,37532.0,,ZM,1500029589.0,30088,False,False,1501491107.0,-14.9985,30.0015,41.63.0.0/18,,3,Abandoned,1501491107.0,"['system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",2378607,Probe,ZM
