,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,46.17.232.170,2a01:410:1:3000:a2f3:c1ff:fec4:5b58,30844.0,30844.0,ZW,1379614071.0,12468,False,True,1450156820.0,-17.8285,31.0505,46.17.232.0/21,2a01:410:1::/48,3,Abandoned,1450156820.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'nat']",31387469,Probe,ZW
1,,,,,ZW,,15307,False,True,,-17.8295,30.8975,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,ZW
2,,,,,ZW,,15322,False,True,,-17.8015,31.0385,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3', 'office', 'fibre']",0,Probe,ZW
3,197.211.238.40,,30969.0,,ZW,1411803149.0,15332,False,True,1454080656.0,-17.8015,31.0385,197.211.192.0/18,,3,Abandoned,1454080656.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",34788219,Probe,ZW
4,,,,,ZW,,15333,False,True,,-17.8315,31.0485,,,0,Never Connected,,"['system-no-flash-drive', 'system-v3', 'datacentre', 'fibre']",0,Probe,ZW
5,41.191.236.203,,37123.0,,ZW,1402999988.0,15351,False,True,1426169649.0,-17.8125,31.1095,41.191.236.0/23,,3,Abandoned,1426169649.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'office', 'fibre']",14593056,Probe,ZW
6,196.29.33.58,,37183.0,,ZW,1424425443.0,15653,False,True,1565609682.0,-17.8215,31.0795,196.29.33.0/24,,3,Abandoned,1565609682.0,"['system-no-flash-drive', 'system-ipv4-capable', 'system-v3']",136377945,Probe,ZW
7,46.17.239.34,,30844.0,,ZW,1402926081.0,16753,False,True,1490471233.0,-17.7715,31.0295,46.17.232.0/21,,3,Abandoned,1490471233.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",61678163,Probe,ZW
8,41.57.65.12,,36986.0,,ZW,1403807146.0,16960,False,True,1526732920.0,-17.8225,31.0505,41.57.64.0/23,,3,Abandoned,1526732920.0,"['system-no-flash-drive', 'system-trying-to-connect', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'datacentre', 'fibre']",83433099,Probe,ZW
9,154.73.80.66,,37184.0,,ZW,1449060030.0,22216,False,True,1527067622.0,-17.8495,31.0275,154.73.80.0/24,,3,Abandoned,1527067622.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",58754124,Probe,ZW
10,46.17.232.170,2a01:410:1:3000:ea94:f6ff:fee3:7126,30844.0,30844.0,ZW,1450093501.0,22253,False,True,1458941130.0,-17.8315,31.0495,46.17.232.0/21,2a01:410:1::/48,3,Abandoned,1458941130.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",6101204,Probe,ZW
11,41.60.32.83,,30969.0,,ZW,1429691796.0,22262,False,True,1433039983.0,-17.7815,31.0205,41.60.32.0/19,,3,Abandoned,1433039983.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",980950,Probe,ZW
12,188.164.30.176,,39356.0,,ZW,1429882713.0,22329,False,True,1448356977.0,-19.2685,31.6485,188.164.0.0/19,,3,Abandoned,1448356977.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",14313873,Probe,ZW
13,196.44.187.182,,31856.0,,ZW,1429710033.0,22350,False,True,1453272730.0,-17.8225,31.0495,196.44.186.0/23,,3,Abandoned,1453272730.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",22978105,Probe,ZW
14,,,,,ZW,,24003,False,True,,-17.7615,31.0375,,,0,Never Connected,,"['system-flash-drive-filesystem-corrupted', 'system-firewall-problem-suspected', 'system-v3']",0,Probe,ZW
15,,,,,ZW,,24043,False,True,,-17.7015,31.1095,,,0,Never Connected,,['system-v3'],0,Probe,ZW
16,41.60.106.132,,30969.0,,ZW,1446930874.0,25087,False,True,1510686660.0,-17.7495,31.0215,41.60.96.0/19,,3,Abandoned,1510686660.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'ipv4', 'home', 'fibre']",34790940,Probe,ZW
17,197.221.253.7,,37204.0,,ZW,1466846805.0,27515,False,True,1491402593.0,-20.1305,28.6275,197.221.253.0/24,,3,Abandoned,1491402593.0,"['system-readonly-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",8293647,Probe,ZW
18,197.221.251.10,,37204.0,,ZW,1496757634.0,30077,False,True,1500302011.0,-20.6195,31.2605,197.221.251.0/24,,3,Abandoned,1500302011.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",3217969,Probe,ZW
19,41.60.114.143,,30969.0,,ZW,1529408200.0,32385,False,True,1578341260.0,-17.3205,31.3315,41.60.96.0/19,,3,Abandoned,1578341260.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",18668765,Probe,ZW
20,216.104.192.14,,37183.0,,ZW,1506589195.0,33028,False,True,1518623550.0,-19.0185,29.1485,216.104.192.0/24,,3,Abandoned,1518623550.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",441970,Probe,ZW
21,,2c0f:f0b8:1200:0:d66e:eff:fe23:58ca,,37123.0,ZW,1506492094.0,33144,False,True,1597684020.0,-17.7405,31.0795,,2c0f:f0b8::/32,2,Disconnected,1597684020.0,"['system-trying-to-connect', 'system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv6-capable', 'system-v3']",79721805,Probe,ZW
22,197.221.248.2,,37204.0,,ZW,1542120087.0,35736,False,True,1562594869.0,-17.8295,31.0485,197.221.248.0/24,,3,Abandoned,1562594869.0,"['system-no-flash-drive', 'system-trying-to-connect', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",18407285,Probe,ZW
23,197.221.232.116,,37204.0,,ZW,1556801341.0,51664,False,True,1603305223.0,-17.8305,31.0505,197.221.232.0/24,,1,Connected,1602376566.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-v4', 'system-ipv4-capable']",13749080,Probe,ZW
